Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Slovak Republic,1800,1750,1700,1650,1600,1550,1500,1480,1460,1440,1420,1400,1380,1360,1340,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1250,1280,1300,1320
Slovenia,1850,1800,1750,1700,1650,1600,1550,1520,1500,1480,1460,1440,1420,1400,1380,1360,1350,1340,1330,1320,1310,1300,1300,1300,1300,1300,1300,1300,1300,1300,1250,1270,1290,1310
Sweden,1550,1540,1530,1520,1510,1500,1490,1480,1470,1460,1450,1440,1430,1420,1410,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1390,1380,1300,1320,1340,1360
Eswatini,~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1620,~1640,~1660
Chad,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2080,~2080,~2060,~2060,~2040,~2040,~2020,~2020,~2000,~2000,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1950,~1980,~2000,~2000
Togo,~2100,~2100,~2100,~2080,~2080,~2060,~2060,~2040,~2040,~2020,~2000,~2000,~1980,~1980,~1960,~1960,~1940,~1940,~1920,~1920,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1880,~1900,~1900,~1900
Thailand,2500,2470,2440,2410,2380,2350,2320,2290,2260,2230,2200,2170,2140,2110,2080,2050,2020,1990,1960,1930,1900,1870,1840,1810,1780,1750,1720,1690,1660,1630,1500,1550,1580,1600
Tajikistan,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1450,~1400,~1350,~1300,~1300,~1350,~1400,~1450,~1500,~1550,~1600,~1650,~1700,~1750,~1800,~1800,~1800,~1800,~1800,~1800,~1800,~1700,~1750,~1780,~1800
Trinidad and Tobago,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1420,~1400,~1380,~1360,~1340,~1320,~1300,~1280,~1260,~1240,~1220,~1200,~1250,~1300,~1350
Tunisia,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1520,~1540,~1560
Türkiye,2250,2200,2150,2100,2050,2000,1950,1900,1850,1800,1750,1730,1710,1690,1670,1650,1630,1610,1590,1570,1550,1530,1510,1490,1470,1450,1430,1410,1390,1370,1300,1350,1380,1400
Tanzania,~2100,~2100,~2100,~2080,~2080,~2060,~2060,~2040,~2040,~2020,~2000,~2000,~1980,~1980,~1960,~1960,~1940,~1940,~1920,~1920,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1880,~1900,~1900,~1900
Ukraine,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1480,~1460,~1440,~1420,~1400,~1420,~1450,~1480,~1510,~1540,~1570,~1600,~1620,~1640,~1660,~1680,~1700,~1700,~1700,~1700,~1700,~1600,~1630,~1650,~1680
Uruguay,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1500,1480,1460,1440,1420,1350,1380,1400,1420
United States,1830,1820,1810,1800,1790,1780,1770,1760,1755,1750,1745,1740,1730,1720,1710,1700,1695,1690,1685,1680,1675,1670,1665,1660,1655,1650,1645,1640,1635,1630,1580,1600,1650,1700
Uzbekistan,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1450,~1400,~1350,~1300,~1300,~1350,~1400,~1450,~1500,~1550,~1600,~1650,~1700,~1750,~1800,~1800,~1800,~1800,~1800,~1800,~1800,~1700,~1750,~1780,~1800
South Africa,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1580,1600,1620,1640
Zambia,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1420,~1400,~1420,~1440,~1460
Zimbabwe,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1420,~1400,~1380,~1360,~1340,~1320,~1300,~1280,~1260,~1240,~1220,~1200,~1250,~1300,~1350
